Sunrise Vedic Mantra	Automatic Subconscious (AutoSub)	Ritual/Ceremony	['Wednesday, August 28th, 2019, 6 AM – 7 AM ']	Join Q at dawn as she leads the group in traditional, healing mantras or verses from the science of Ayurveda. Utilize sound therapy to bring clarity to the mind and diminish depression and anxiety. Scrub the mind of toxic emotional patterns that no longer serve you and master the metaphysics that lives within.
Sunrise Yoga and Meditation	I Love Elephants	Class/Workshop	['Monday, August 26th, 2019, 6 AM – 7:15 AM <--> Tuesday, August 27th, 2019, 6 AM – 7:15 AM <--> Wednesday, August 28th, 2019, 6 AM – 7:15 AM <--> Thursday, August 29th, 2019, 6 AM – 7:15 AM <--> Friday, August 30th, 2019, 6 AM – 7:15 AM <--> Saturday, August 31st, 2019, 6 AM – 7:15 AM <--> Sunday, September 1st, 2019, 6 AM – 7:15 AM ']	Tune in to the potent vibrations of the Playa. We'll cultivate awareness for the present moment & set powerful intentions for the day. Guest teachers.
Quiet Reflection	Comfort & Joy	Ritual/Ceremony	['Monday, August 26th, 2019, 6 AM – 9 AM <--> Tuesday, August 27th, 2019, 6 AM – 9 AM <--> Wednesday, August 28th, 2019, 6 AM – 9 AM <--> Thursday, August 29th, 2019, 6 AM – 9 AM <--> Friday, August 30th, 2019, 6 AM – 9 AM <--> Saturday, August 31st, 2019, 6 AM – 9 AM <--> Sunday, September 1st, 2019, 6 AM – 9 AM ']	Come and grab some shade and solitude in our shade tent meditate, nap, be still be quiet. 6 am - 9 am in Tiara at Comfort & Joy Village
Sweet Memories Coffee Bar	Wrongtown	Food	['Monday, August 26th, 2019, 6 AM – 10 AM <--> Tuesday, August 27th, 2019, 6 AM – 10 AM <--> Wednesday, August 28th, 2019, 6 AM – 10 AM <--> Thursday, August 29th, 2019, 6 AM – 10 AM <--> Friday, August 30th, 2019, 6 AM – 10 AM <--> Saturday, August 31st, 2019, 6 AM – 10 AM ']	https://wrongtown.xyz
Sunrise at We. the people Art Installation	WE. The People.	Ritual/Ceremony	['Monday, August 26th, 2019, 6 AM – 6:15 AM <--> Tuesday, August 27th, 2019, 6 AM – 6:15 AM <--> Wednesday, August 28th, 2019, 6 AM – 6:15 AM <--> Thursday, August 29th, 2019, 6 AM – 6:15 AM <--> Friday, August 30th, 2019, 6 AM – 6:15 AM <--> Saturday, August 31st, 2019, 6 AM – 6:15 AM <--> Sunday, September 1st, 2019, 6 AM – 6:15 AM ']	Celebrate the liminal space of metamorphosis with daily Sunrise Dedications to the creative forces of the universe. Ceremony of the people, with the people, as a party with the Everything. Monday begins with honoring the Earth. Each day follows as the Wind, then Water, Fire, Cosmos, Love, and finally Death as the ultimate transition on the morning of the Temple Burn.
Bad Coffee at the Gas Station	Awful's Gas & Snack	Food	['Monday, August 26th, 2019, 6 AM – 7:30 AM <--> Tuesday, August 27th, 2019, 6 AM – 7:30 AM <--> Wednesday, August 28th, 2019, 6 AM – 7:30 AM <--> Thursday, August 29th, 2019, 6 AM – 7:30 AM <--> Friday, August 30th, 2019, 6 AM – 7:30 AM ']	Been up all night? Need coffee? Willing to settle for less? Come to AWFUL'S GAS & SNACK for your caffeine needs!
Experience Deep Time on the Playa Bike Tour	lorax	Class/Workshop	['Tuesday, August 27th, 2019, 6:30 AM – 8:30 AM <--> Wednesday, August 28th, 2019, 6:30 AM – 8:30 AM ']	http://www.earthguardians.net
“Guided Kinky Meditation”	8:00 & Bacchus	Adult-oriented	['Wednesday, August 28th, 2019, 6:30 AM – 7 AM <--> Sunday, September 1st, 2019, 6:30 AM – 7 AM ']	Sunrise Meditation to awaken your senses and tune in to your kinky side. This is a guided meditation using Singing Bowls to awaken your inner flame.
Kinky Guided Meditation with singing bowls	Retrofrolic 8 and Bacchus	Class/Workshop	['Wednesday, August 28th, 2019, 6:30 AM – 7 AM <--> Sunday, September 1st, 2019, 6:30 AM – 7 AM ']	Before you can express your O you might need to express your OM. Relaxation is key to successful Os!
Trash Fence Perimeter 1/2 Marathon	SIZE DOESN'T MATTER	Parade	['Wednesday, August 28th, 2019, 6:45 AM – 10 AM ']	Under appreciated trash fence needs some attention. Run or Ride with us around the pentagon shape!
5-Element Spinal Wake Up and Chanting w/Z!	RhythmWave	Class/Workshop	['Wednesday, August 28th, 2019, 7 AM – 8 AM ']	https://www.rhythmwave.org/
Early Riser Coffee Bar	Blissfits Retirement Village	Food	['Monday, August 26th, 2019, 7 AM – 10 AM <--> Tuesday, August 27th, 2019, 7 AM – 10 AM <--> Wednesday, August 28th, 2019, 7 AM – 10 AM <--> Thursday, August 29th, 2019, 7 AM – 10 AM <--> Friday, August 30th, 2019, 7 AM – 10 AM <--> Saturday, August 31st, 2019, 7 AM – 10 AM <--> Sunday, September 1st, 2019, 7 AM – 10 AM ']	Come n get ur cup a Joe...over soft Jazz & Giant Step every am.
Open AA Meeting (Alcoholics Anonymous)	Anonymous Village	Care/Support	['Monday, August 26th, 2019, 7 AM – 8 AM <--> Tuesday, August 27th, 2019, 7 AM – 8 AM <--> Wednesday, August 28th, 2019, 7 AM – 8 AM <--> Thursday, August 29th, 2019, 7 AM – 8 AM <--> Friday, August 30th, 2019, 7 AM – 8 AM <--> Saturday, August 31st, 2019, 7 AM – 8 AM <--> Sunday, September 1st, 2019, 7 AM – 8 AM ']	https://burnanon.org
Sunrise Tavern Sunrise Breakfast	Sunrise Tavern	Food	['Monday, August 26th, 2019, 7 AM – 11 AM <--> Tuesday, August 27th, 2019, 7 AM – 11 AM <--> Wednesday, August 28th, 2019, 7 AM – 11 AM <--> Thursday, August 29th, 2019, 7 AM – 11 AM <--> Friday, August 30th, 2019, 7 AM – 11 AM <--> Saturday, August 31st, 2019, 7 AM – 11 AM ']	The sun's peeking up & you look like an extra from World War Z. Come revive yerself with a wholesome breakfast - bacon, pancakes, coffee, bloodies etc
Morning Meditation	Run Free Camp	Care/Support	['Monday, August 26th, 2019, 7 AM – 8 AM <--> Tuesday, August 27th, 2019, 7 AM – 8 AM <--> Wednesday, August 28th, 2019, 7 AM – 8 AM <--> Thursday, August 29th, 2019, 7 AM – 8 AM <--> Friday, August 30th, 2019, 7 AM – 8 AM <--> Saturday, August 31st, 2019, 7 AM – 8 AM <--> Sunday, September 1st, 2019, 7 AM – 8 AM ']	Morning Meditation - some days with singing bowl, yoga, or other mediums
Amrita InfiniTEA House	DusTea	Class/Workshop	['Tuesday, August 27th, 2019, 7 AM – 7 PM <--> Wednesday, August 28th, 2019, 7 AM – 7 PM <--> Thursday, August 29th, 2019, 7 AM – 7 PM <--> Friday, August 30th, 2019, 7 AM – 7 PM <--> Saturday, August 31st, 2019, 7 AM – 7 PM ']	Come enjoy an array of offerings including workshops, meditation, movement and music with intention to help you cultivate a deeper relationship to yourself, community and Spirit.
Daily Sunrise Water Prayer	Red Lightning :: Blue Thunder	Ritual/Ceremony	['Monday, August 26th, 2019, 7:30 AM – 8 AM <--> Tuesday, August 27th, 2019, 7:30 AM – 8 AM <--> Wednesday, August 28th, 2019, 7:30 AM – 8 AM <--> Thursday, August 29th, 2019, 7:30 AM – 8 AM <--> Friday, August 30th, 2019, 7:30 AM – 8 AM <--> Saturday, August 31st, 2019, 7:30 AM – 8 AM ']	http://www.sacredwaterblessing.com
Morning Meditation	Anahasana Village	Class/Workshop	['Monday, August 26th, 2019, 7:30 AM – 8:30 AM <--> Tuesday, August 27th, 2019, 7:30 AM – 8:30 AM <--> Wednesday, August 28th, 2019, 7:30 AM – 8:30 AM <--> Thursday, August 29th, 2019, 7:30 AM – 8:30 AM <--> Friday, August 30th, 2019, 7:30 AM – 8:30 AM <--> Saturday, August 31st, 2019, 7:30 AM – 8:30 AM ']	Start your day by connecting with yourself and the earth around you. Become grounded in your body, mind, and soul!
The Temple Of Harmonics	The Playa Choir	Ritual/Ceremony	['Monday, August 26th, 2019, 7:30 AM – 9:30 AM <--> Tuesday, August 27th, 2019, 7:30 AM – 9:30 AM <--> Wednesday, August 28th, 2019, 7:30 AM – 9:30 AM <--> Thursday, August 29th, 2019, 7:30 AM – 9:30 AM <--> Friday, August 30th, 2019, 7:30 AM – 9:30 AM <--> Saturday, August 31st, 2019, 7:30 AM – 9:30 AM ']	https://www.playachoir.com
Morning Tea Ceremony	DusTea	Ritual/Ceremony	['Wednesday, August 28th, 2019, 7:30 AM – 8:45 AM ']	Come start your morning in a quiet and peaceful way, we will share silence, dive deep into the warm embrace of tea and ourselves, and begin the day grounded, elevated, and open.
Hot Mess Yoga	Paradise Motel	Class/Workshop	['Monday, August 26th, 2019, 8 AM – 9 AM <--> Wednesday, August 28th, 2019, 8 AM – 9 AM <--> Friday, August 30th, 2019, 8 AM – 9 AM ']	https://paradisemotel.camp
BookCrossing Zone	Mobility Camp	Kid-friendly	['Monday, August 26th, 2019, 8 AM – 8 PM <--> Tuesday, August 27th, 2019, 8 AM – 8 PM <--> Wednesday, August 28th, 2019, 8 AM – 8 PM <--> Thursday, August 29th, 2019, 8 AM – 8 PM <--> Friday, August 30th, 2019, 8 AM – 8 PM <--> Saturday, August 31st, 2019, 8 AM – 8 PM <--> Sunday, September 1st, 2019, 8 AM – 8 PM ']	https://mobilitycamp.org
Morning Transformational Coffee	Nose Fish	Food	['Monday, August 26th, 2019, 8 AM – 10 AM <--> Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM ']	https://nosefish.org/
24X7 Golf Course	Palm Tree Country Club	Game	['Monday, August 26th, 2019, 8 AM – 8 PM <--> Tuesday, August 27th, 2019, 8 AM – 8 PM <--> Wednesday, August 28th, 2019, 8 AM – 8 PM <--> Thursday, August 29th, 2019, 8 AM – 8 PM <--> Friday, August 30th, 2019, 8 AM – 8 PM <--> Saturday, August 31st, 2019, 8 AM – 8 PM ']	Burners are welcome to enjoy our 5 hole golf course anytime. Guests will be given as many golf balls they can fit into their mouth to play with.
Tea Time	HEX Collective	Food	['Monday, August 26th, 2019, 8 AM – 10 AM <--> Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM <--> Saturday, August 31st, 2019, 8 AM – 10 AM ']	http://www.hexcollective.org
Orphan Item Station	Orphan Asylum	Other	['Monday, August 26th, 2019, 8 AM – 8 PM <--> Tuesday, August 27th, 2019, 8 AM – 8 PM <--> Wednesday, August 28th, 2019, 8 AM – 8 PM <--> Thursday, August 29th, 2019, 8 AM – 8 PM <--> Friday, August 30th, 2019, 8 AM – 8 PM <--> Saturday, August 31st, 2019, 8 AM – 8 PM ']	Come accessorize with Skippy's Orphan Item Station. Leave an item/ take an item, help find a home for all this random fun, weird, and useful crap! A mix of clothes and other knick knacks free for the taking, outisde Orphan Asylum all week at 7:45 and G!
HorseShoe and Campground funtime yard Games	CampFire Cove	Game	['Monday, August 26th, 2019, 8 AM – 8 PM <--> Tuesday, August 27th, 2019, 8 AM – 8 PM <--> Wednesday, August 28th, 2019, 8 AM – 8 PM <--> Thursday, August 29th, 2019, 8 AM – 8 PM <--> Friday, August 30th, 2019, 8 AM – 8 PM <--> Saturday, August 31st, 2019, 8 AM – 8 PM ']	HorseShoe, Croquet, Cornhole and other camp ground games for your enjoyment 24/7
dragoncamp armory metal bikini workshop	7:30 & F	Class/Workshop	['Monday, August 26th, 2019, 8 AM – 12 PM <--> Tuesday, August 27th, 2019, 8 AM – 12 PM <--> Wednesday, August 28th, 2019, 8 AM – 12 PM <--> Thursday, August 29th, 2019, 8 AM – 12 PM <--> Friday, August 30th, 2019, 8 AM – 12 PM <--> Saturday, August 31st, 2019, 8 AM – 12 PM ']	This is a highly participatory workshop where women will make and decorate their own sexy Armor Bikini to keep, wear, and share on the playa. Recyclable aluminum is used to hand hammer a custom fit costume using traditional hand metal working techniques handed down by cultures across the ages. Helpers will be available assist as needed, but past camps have shown that participants were all highly successful and delighted with their costumes and new skills. We will have a “dungeon” façade and props set up in the camp, along with our Giant Green Dragon mutant vehicle for a backdrop for the girls to shoot photos of their completed creations. Prop swords, axes and throne furnished for effect. Also new this year will be a body painting station for painting of “tribal tattoos” and theme- based decorative art for participants and accompanying friends. Think Dragons! A special bonus is our Must be Naked to Ride Life-Size Animatronic Dinosaur. Don't miss it. Workshop will be open daily 8am-noon. Construction takes about 2 hours. All materials gifted of course.
Micro-dosing & Tapping into Flow and Inspiration	Camp Mystic	Class/Workshop	['Wednesday, August 28th, 2019, 8 AM – 9 AM ']	Learn how to effectively leverage the power of psychedelics to tap into flow states and align with the open channel of inspiration. With Laura Dawn
Nicolas Cage Coloring Chill Space	Camp Shark Cage	Gathering/Party	['Monday, August 26th, 2019, 8 AM – 8 AM <--> Tuesday, August 27th, 2019, 8 AM – 8 AM <--> Wednesday, August 28th, 2019, 8 AM – 8 AM <--> Thursday, August 29th, 2019, 8 AM – 8 AM <--> Friday, August 30th, 2019, 8 AM – 8 AM <--> Saturday, August 31st, 2019, 8 AM – 8 AM ']	Camp Shark CageH & 7:45
Morning Cup Of Joe	Naked Bead	Food	['Monday, August 26th, 2019, 8 AM – 10 AM <--> Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM <--> Saturday, August 31st, 2019, 8 AM – 10 AM ']	http://nakedbead.com/
Wellness Wednesday Workshops	Awesome!(ville)	Class/Workshop	['Wednesday, August 28th, 2019, 8 AM – 12 PM ']	redridercan@yahoo.com
Soul Share, Revolutionize Relationships	Naked Heart	Class/Workshop	['Wednesday, August 28th, 2019, 8 AM – 9:30 AM ']	Dive deeper with your partner, unlock rich friendships; Learn the secrets to better understanding
Scrape the Mucus Off My Brain Country Coffee Hour	Dusty Booty Ranch	Gathering/Party	['Wednesday, August 28th, 2019, 8 AM – 12 PM ']	Come join us to clear out the hump day cobwebs from the burn week!!! Get your whiskey Wednesday started with an offensive honky tonk’n country music, dusty donuts, warm whiskey, coffee break’n good time. Awwww shit!
Teacher’s Lounge	Freak Akademy	Food	['Monday, August 26th, 2019, 8 AM – 10 AM <--> Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM <--> Saturday, August 31st, 2019, 8 AM – 10 AM <--> Sunday, September 1st, 2019, 8 AM – 10 AM ']	We here at the freak akademy know you have been pulling a lot of all nighters “studying” for exxxams. So come by to have a drink with our fuckulty at our teachers lounge. Black coffee (with a little teacher helper in there) for all.
Java Joy Cafe Hut	Silicon Village	Ritual/Ceremony	['Monday, August 26th, 2019, 8 AM – 10 AM <--> Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM <--> Saturday, August 31st, 2019, 8 AM – 10 AM ']	http://siliconvillageburners.org/pods/joyism/
Vipassana Meditation	Run Free Camp	Care/Support	['Monday, August 26th, 2019, 8 AM – 9 AM <--> Tuesday, August 27th, 2019, 8 AM – 9 AM <--> Wednesday, August 28th, 2019, 8 AM – 9 AM <--> Thursday, August 29th, 2019, 8 AM – 9 AM <--> Friday, August 30th, 2019, 8 AM – 9 AM ']	Connect and ground to the innate wisdom of unfolding. Silent 1hr meditation.
Rise & Shine HIIT	Settle This Like Men	Class/Workshop	['Monday, August 26th, 2019, 8 AM – 9 AM <--> Tuesday, August 27th, 2019, 8 AM – 9 AM <--> Wednesday, August 28th, 2019, 8 AM – 9 AM <--> Thursday, August 29th, 2019, 8 AM – 9 AM ']	Come burn some calories and get your body Playa ready! 45 minutes of High Intensity Interval Training, guaranteed to make you feel the burn!
Beer Bong Breakfast	FANDANGO!	Other	['Monday, August 26th, 2019, 8 AM – 10:30 AM <--> Tuesday, August 27th, 2019, 8 AM – 10:30 AM <--> Wednesday, August 28th, 2019, 8 AM – 10:30 AM <--> Thursday, August 29th, 2019, 8 AM – 10:30 AM <--> Friday, August 30th, 2019, 8 AM – 10:30 AM <--> Saturday, August 31st, 2019, 8 AM – 10:30 AM <--> Sunday, September 1st, 2019, 8 AM – 10:30 AM ']	21+ Come by FANDANGO! for your morning serving of beer! Compete with others or chug at your own pace.
Wingperson Wednesday	Black Rock City	Care/Support	['Wednesday, August 28th, 2019, 8 AM – 8 PM ']	Today, your job is to make sure that a stranger has an extraordinary experience. Find out what they'd love, and connect them with it.
Journey to Source: Blindfold yoga meditation	Naked Heart	Class/Workshop	['Wednesday, August 28th, 2019, 8 AM – 9 AM ']	Reconnect inwards as movement and words align your body, mind, and heart. Dance with the divine masculine and feminine in a rebirth journey. Your inner guide will take you to a place of recreation. Yoga poses and meditation will support your journey.
Soul Shakedown	Duck Pond	Gathering/Party	['Wednesday, August 28th, 2019, 8 AM – 12 PM ']	Wake up and boogie down with some classic and deep soul music to recharge your soul.
Jump the Shark	Orphan Asylum	Other	['Monday, August 26th, 2019, 8 AM – 8 PM <--> Tuesday, August 27th, 2019, 8 AM – 8 PM <--> Wednesday, August 28th, 2019, 8 AM – 8 PM <--> Thursday, August 29th, 2019, 8 AM – 8 PM <--> Friday, August 30th, 2019, 8 AM – 8 PM <--> Saturday, August 31st, 2019, 8 AM – 8 PM <--> Sunday, September 1st, 2019, 8 AM – 8 PM ']	Literally jump the shark. Orphan Asylum will have a sweet bike ramp and a shark to jump during daylight hours all week! Come jump the shark! (No sharks harmed) On the road outside Orphan Asylum at 7:45 and G!
Coffee Service	Cafe De La Fin du Monde	Food	['Monday, August 26th, 2019, 8 AM – 2 PM <--> Tuesday, August 27th, 2019, 8 AM – 2 PM <--> Wednesday, August 28th, 2019, 8 AM – 2 PM <--> Thursday, August 29th, 2019, 8 AM – 2 PM <--> Friday, August 30th, 2019, 8 AM – 2 PM <--> Saturday, August 31st, 2019, 8 AM – 2 PM <--> Sunday, September 1st, 2019, 8 AM – 2 PM ']	http://www.experientialcommunity.org/cafe-de-la-fin-du-monde
Bouldering Wall	Camp 88	Game	['Monday, August 26th, 2019, 8 AM – 8 PM <--> Tuesday, August 27th, 2019, 8 AM – 8 PM <--> Wednesday, August 28th, 2019, 8 AM – 8 PM <--> Thursday, August 29th, 2019, 8 AM – 8 PM <--> Friday, August 30th, 2019, 8 AM – 8 PM <--> Saturday, August 31st, 2019, 8 AM – 8 PM ']	It’s all choss! Come hang out with us. Might be a tough up, but there’s always a soft come down. 24/7. Brought to you by Camp 88, celebrating 10 years on the playa.
Test your Breakfast Taste Buds!	Random Acts of Cupcake	Food	['Monday, August 26th, 2019, 8 AM – 10 AM <--> Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM ']	Think you know your tastebuds early in the morning? Swing by Random Acts and nuzzle up to our giant 10 foot tall breakfast muffin. We'll find something tasty to cram in your pie hole. Maybe you'll guess what we put in there. Dollar pancake? Mini muffin? Powder doughnut? Stop on by and find out what the breakfast gods decide!
DragonCamp Armory Bikini workshop	7:30 & F	Class/Workshop	['Monday, August 26th, 2019, 8 AM – 12 PM <--> Tuesday, August 27th, 2019, 8 AM – 12 PM <--> Wednesday, August 28th, 2019, 8 AM – 12 PM <--> Thursday, August 29th, 2019, 8 AM – 12 PM <--> Friday, August 30th, 2019, 8 AM – 12 PM <--> Saturday, August 31st, 2019, 8 AM – 12 PM ']	dragoncamparmory@gmail.com
Granola Bar	Camp 88	Food	['Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM ']	Good night? Start your day off right! Enjoy some handmade granola with alternative milk. We love you! Brought to you by Camp 88, celebrating 10 years on the playa.
Addiction & The Trauma Story	Anonymous Village 5:30&Gish (Yoga Tent)	Class/Workshop	['Monday, August 26th, 2019, 8:15 AM – 9 AM <--> Wednesday, August 28th, 2019, 8:15 AM – 9 AM <--> Friday, August 30th, 2019, 8:15 AM – 9 AM ']	playafiedcharlie@gmail.com
Hot Holes	Camp Not For Prophets	Food	['Monday, August 26th, 2019, 8:30 AM – 10 AM <--> Tuesday, August 27th, 2019, 8:30 AM – 10 AM <--> Wednesday, August 28th, 2019, 8:30 AM – 10 AM <--> Thursday, August 29th, 2019, 8:30 AM – 10 AM ']	Sthomebrew@aol.com
Demooping / Easy Run	Pink Lightning	Other	['Monday, August 26th, 2019, 8:30 AM – 9:30 AM <--> Tuesday, August 27th, 2019, 8:30 AM – 9:30 AM <--> Wednesday, August 28th, 2019, 8:30 AM – 9:30 AM <--> Thursday, August 29th, 2019, 8:30 AM – 9:30 AM <--> Friday, August 30th, 2019, 8:30 AM – 9:30 AM <--> Saturday, August 31st, 2019, 8:30 AM – 9:30 AM <--> Sunday, September 1st, 2019, 8:30 AM – 9:30 AM ']	Easy daily morning 2-4 mile run, everyone bring a bag for moop on the run, reward at the end!
Moop Run Bingo	C & 6:45	Game	['Monday, August 26th, 2019, 8:30 AM – 9:15 AM <--> Wednesday, August 28th, 2019, 8:30 AM – 9:15 AM <--> Thursday, August 29th, 2019, 8:30 AM – 9:15 AM <--> Friday, August 30th, 2019, 8:30 AM – 9:15 AM <--> Saturday, August 31st, 2019, 8:30 AM – 9:15 AM <--> Sunday, September 1st, 2019, 8:30 AM – 9:15 AM ']	http://www.burningman50k.com/running-at-burning-man/
Mapping Automatic Shame Responses	Naked Heart	Class/Workshop	['Wednesday, August 28th, 2019, 8:30 AM – 9:30 AM ']	Transform subjective shame into an objective cause/effect map of auto responses that once seen can be chosen or powerfully discarded. Shame cannot live in the same space as reveal and once revealed cannot again be unseen. This will be an opportunity to be held in deep vulnerability and experience new freedom.
Daily Yoga with special guest teachers	I Love Elephants	Class/Workshop	['Monday, August 26th, 2019, 8:30 AM – 10 AM <--> Tuesday, August 27th, 2019, 8:30 AM – 10 AM <--> Wednesday, August 28th, 2019, 8:30 AM – 10 AM <--> Thursday, August 29th, 2019, 8:30 AM – 10 AM <--> Friday, August 30th, 2019, 8:30 AM – 10 AM <--> Saturday, August 31st, 2019, 8:30 AM – 10 AM <--> Sunday, September 1st, 2019, 8:30 AM – 10 AM ']	Heart & soul-centered approach, emphasizing breath, somatic based movement, trantra & community. rotation: Dana Damara, Hemalayaa, Saul, Amber Brovelli
Morning Yoga	Anahasana Village	Class/Workshop	['Monday, August 26th, 2019, 8:30 AM – 10 AM <--> Tuesday, August 27th, 2019, 8:30 AM – 10 AM <--> Wednesday, August 28th, 2019, 8:30 AM – 10 AM <--> Thursday, August 29th, 2019, 8:30 AM – 10 AM <--> Friday, August 30th, 2019, 8:30 AM – 10 AM <--> Saturday, August 31st, 2019, 8:30 AM – 10 AM ']	We'll be offering a variety of Asana Yoga practices throughout the week.
Morning Movement Exploration	IDEATE	Class/Workshop	['Tuesday, August 27th, 2019, 8:30 AM – 9:30 AM <--> Wednesday, August 28th, 2019, 8:30 AM – 9:30 AM <--> Thursday, August 29th, 2019, 8:30 AM – 9:30 AM <--> Friday, August 30th, 2019, 8:30 AM – 9:30 AM ']	http://www.ideate.org/
Kundalini Yoga w/Orion	RhythmWave	Class/Workshop	['Wednesday, August 28th, 2019, 8:30 AM – 9:30 AM ']	https://www.rhythmwave.org/
Climbing Wall - Morning	Silicon Village	Class/Workshop	['Tuesday, August 27th, 2019, 8:30 AM – 10:30 AM <--> Wednesday, August 28th, 2019, 8:30 AM – 10:30 AM <--> Thursday, August 29th, 2019, 8:30 AM – 10:30 AM <--> Friday, August 30th, 2019, 8:30 AM – 10:30 AM <--> Saturday, August 31st, 2019, 8:30 AM – 10:30 AM ']	http://siliconvillageburners.org/pods/joyism/
Calm Inside	Reverbia	Class/Workshop	['Monday, August 26th, 2019, 8:45 AM – 9:30 AM <--> Tuesday, August 27th, 2019, 8:45 AM – 9:30 AM <--> Wednesday, August 28th, 2019, 8:45 AM – 9:30 AM <--> Thursday, August 29th, 2019, 8:45 AM – 9:30 AM <--> Friday, August 30th, 2019, 8:45 AM – 9:30 AM <--> Saturday, August 31st, 2019, 8:45 AM – 9:30 AM ']	https://Reverbia.org
Women's Ceremonial Circle	Harmonic Convergence Camp	Ritual/Ceremony	['Wednesday, August 28th, 2019, 9 AM – 11 AM ']	jordanjrahme@gmail.com
Celestial Yoga Classes	Karma Love Camp	Class/Workshop	['Monday, August 26th, 2019, 9 AM – 10 AM <--> Wednesday, August 28th, 2019, 9 AM – 10 AM <--> Friday, August 30th, 2019, 9 AM – 10 AM <--> Saturday, August 31st, 2019, 9 AM – 10 AM ']	https://karmacamp.net/intro/
Men's Gathering	Camp Contact	Class/Workshop	['Wednesday, August 28th, 2019, 9 AM – 10:30 AM ']	This is a space to dive into our feelings, and ideas around masculinity, and also visit some valuable resources to bring deeper acceptance into our inner world.
Ladies: Eros Tangeré Erotic 1on1 Tactile Performan	Spanky's Wine Bar (and Village)	Adult-oriented	['Monday, August 26th, 2019, 9 AM – 6 PM <--> Tuesday, August 27th, 2019, 9 AM – 6 PM <--> Wednesday, August 28th, 2019, 9 AM – 6 PM <--> Thursday, August 29th, 2019, 9 AM – 6 PM <--> Friday, August 30th, 2019, 9 AM – 6 PM ']	Ladies: Back for our 9th year, Eros Tangeré gets better and better! If you are a daring and confident woman, this is that sexy something that will really rock your world and awaken your senses! Here’s your chance to experience something we guarantee you’ve never felt before! Eros Tangeré is a one-on-one “tactile performance” that can only be described as the sensation experience that is created as your very body is played as if it were an ever-changing organic musical instrument. —Phew! Your body becomes the surface upon which amazing erotic sensations will cascade with the undulations of an amazing music track. Imagine that you can FEEL the expression of music with your body. Sans clothes and blindfolded, one of our highly trained artists will perform upon your body with the music in ways that you have never experienced. This is a unique and creative custom-designed sensory performance. Not for the faint of heart. Eros Tangeré is a one-on-one, sensual, adult event. Space is very limited. Signing up for a spot right at 9am the day of the session is highly recommended. Check in at the Camp for Sensual Pleasures inside Spanky’s Wine Bar for more info and times. 18+, Ladies Only. This has become a hit-favorite at Burning Man, do not miss it. Appointments are very limited.
Cappuccino Mornings	Harmonic Convergence Camp	Food	['Monday, August 26th, 2019, 9 AM – 1 PM <--> Tuesday, August 27th, 2019, 9 AM – 1 PM <--> Wednesday, August 28th, 2019, 9 AM – 1 PM <--> Thursday, August 29th, 2019, 9 AM – 1 PM <--> Friday, August 30th, 2019, 9 AM – 1 PM ']	https://m.facebook.com/HarmonicConvergenceCafe/?ref=bookmarks
Hot Bean Water	The Recycled Hoh	Food	['Monday, August 26th, 2019, 9 AM – 10 AM <--> Tuesday, August 27th, 2019, 9 AM – 10 AM <--> Wednesday, August 28th, 2019, 9 AM – 10 AM <--> Thursday, August 29th, 2019, 9 AM – 10 AM <--> Friday, August 30th, 2019, 9 AM – 10 AM <--> Saturday, August 31st, 2019, 9 AM – 10 AM ']	Stop by to get your fix of bitter, overpriced coffee made just the way Pacific North Westerners like. We'll even happily mispronounce your name for you.
Womyn’s Any-A Meeting	Anonymous Village	Care/Support	['Monday, August 26th, 2019, 9 AM – 10 AM <--> Tuesday, August 27th, 2019, 9 AM – 10 AM <--> Wednesday, August 28th, 2019, 9 AM – 10 AM <--> Thursday, August 29th, 2019, 9 AM – 10 AM <--> Friday, August 30th, 2019, 9 AM – 10 AM <--> Saturday, August 31st, 2019, 9 AM – 10 AM <--> Sunday, September 1st, 2019, 9 AM – 10 AM ']	https://burnanon.org
