#Octothorpe	5:45 and I	Come #hashtag with us
#happylovejoy	9:00 and D	
Camp Mystic	2:00 and G	Camp Mystic has a 20 year history on the playa which features over 155 hours of day time and night time programming throughout the week in its three public spaces:-Our 2-story 6000 square foot Main Mystic Theater-Our 30 foot Healing Dome, and -Our 75ftx75x75ft 3 Tiered Cosmic Heart TempleIn addition, Camp Mystic features a large visionary art and sculpture collection in our 2-story 6000 square foot Main Mystic Theater bathed in light and sound that can be visited day or night 24 hours a day.BY DAY-Come to our Theater for our Mind-Body Movement classes each morning and our Evolutionary Speaker Series of talks and workshops in the afternoon.-Come to our Healing Dome for sessions with our healers and experience the Lucia Light experience of sound and light.-Come to our Cosmic Heart Temple for interactive initiations, ritual, tea service, talks, and ceremony-Get on our Mystic Flyer art car by day to experience the art in deep playa and our Time Jump experience inside. BY NIGHT-Come to our Mystic Theater for our famous Wednesday Night DJ Dance party themed: A Transmission of Truth & Beauty featuring some of burning man's best musicians, DJs, singers, dancers, fire spinners, aerialists, live painters,-Come to either our Dome, Cosmic Heart Temple, or Theater on different nights for sound healing concerts and Gospel Choir.-Get on our Mystic Flyer art car each night to tour deep playa with some incredible DJs, musicians, and tunes and an incredible 12,000 LED light display as the backdrop to move your body.
Camp Name Negotiable	7:15 and H
Camp Not For Prophets	2:45 and C	Serving hot, freshly cooked donut holes with icing
Camp Orange (you glad we didn’t say banana?!)	5:00 and D	Join us to gaze upon the glory of our 16-foot tall Banana Stand (find out for yourself if there’s $$ inside) from which we’ll bestow you with delicious frozen chocolate-covered BANANAS. Plus, we’ll have happy hours throughout the week featuring our famous bananarific cocktails, beer, and shots served from our covered bar and lounge area where you can sip on a the tasty beverage of your choice while reclining in one of our banana hammocks.
Camp Panorama	7:15 and H	MV support for the Deep Playa Drive art car
Camp Pendant	7:45 and G
Camp PlayApology	9:00 and B	Welcome to Camp PlayApology. Whether you said something cruel… acted the drunken, drooling fool… or peed in the evap pool (true story)… we've got everything you need to say, "Sorry, I effed up!" with finesse and style. We strive to be a swathe of sincerity amidst a sea of snark. Part Playa florist, part relationship repair therapy, part social experiment on atonement, Black Rock's 1st and only Custom Apology Delivery Service offers BRC-centric greeting CARDS, Playa-friendly FLOWERS and singing "SORRYGRAMS" to whomever needs to make “playAmends." And while we specialize in contrition, our expanded inventory includes "You're Awesome!" cards, a "Welcome to BRC!" missive for burgins, and notes for other occasions. We also offer gift bags for Virgins visiting our camp.If you are feeling so sorry that you need to forget your troubles, have a shot from the Well of Regret, our Artisanal Vodka Bar!
Camp Questionmark  )?( 	2:00 and 2400	The greatest sound camp at burn - providing the best of West Coast bass culture
Camp Random Pants	4:15 and J	Camp Random Pants of course offers pants! They hang from the dome so take and leave as you wish:) We are known for the 10am Morning Yodel Dance! Please come by every morning:)In addition this year we will have the third annual LeTitSnow Xmas Party, Wife Carry Race, 80s Dust Dance Party, daily Yoga!Please stop by anytime to chill in the shade of the dome, see whats going on, chat it up, hug, love... 
Camp SPF	3:30 and 2400	Fire, Sunscreen, Craft Cocktails and Mocktails, Plenty of Shade and Hospitality
Camp Safari	4:30 and B	Home of the Safari Bar
Camp Scatter	8:45 and E	Banana Hammock Theater for a bike-in movie show featuring the "King" himself.
Camp Selfie Steam	9:00 and J	Heavily international Sauna/Spa camp, offering steam sauna sessions, a massage parlor, and hydration bar
Camp Settle This Like Men	7:45 and E	Camp STLM is Black Rock City’s best and probably only place to train Jiu Jitsu, Muay Thai, and to engage in kinetic dispute resolution workshops, aka Trial by Combat. We also dabble in the softer kinesthetic arts of yoga, mediation and mobility/stretching. But don’t let that intimidate you… we have been know to host epic parties of extreme randomness like the Baltic/Eastern European party, Goddesses of Prosecco Party, I Scream, You Scream, We All Scream for Ice Cream/What Would You Do for an Ice Cream Bar mobile party, Bad Bad B Movie Night, and more. 
Camp Shark Cage	7:45 and H	The one and only nautical Nicolas Cage theme camp. Come be baptized and reborn through the One True God - Nicolas Cage or chill out in our art den and color pages of Nicolas Cage in nautical themed settings. 
Camp Shit Ain't Right 	2:45 and F	We have a shitty bar, with shitty couches, and shitty conversations! 
Camp Shotski Wanderlust	3:05 and E	Cold Fireball Shots (on our shotskis of course) and Unicorn Races!
Camp Side Quest	6:45 and H	Camp Side Quest is home to the Spitz N Ass Tavern where our NPC's will give you side quests and thirst quenching rewards!
Camp Soft Landing	8:30 and E	Camp Soft Landing offers a comfortable space to drink tea, hydrate, and rest in our Full Circle Tea House. Soft Landing also presents the Palenque Norte speaker series featuring 40 visionary talks and stories spanning concepts such as technology, community organization, medicine, art, science, design and entheobotany. 
Camp Sweaty Betty	7:15 and D	Hair Washing, Bike Repair, Misting 
Camp Too Much Stuff 	4:45 and G	At the Hassle-Mart Inconvenience Store & Bar we believe that the customer always comes 4th. Come on down to checkout our inventory of junk food, cigarettes, booze, and other useful items; the only cost is your convenience. We’ll conveniently be open for regular hours every afternoon…. probably. Life is already difficult, why should we be any different? 
Camp Walter	7:00 and 2400	Home to Walter the largest VW Bus, Big Red, Kalliope, Heathen art cars and more
Camp Wetspot	4:30 and G
Camp YNOT 	9:15 and G	Join us for our Annual Rose All Day Happy Hour (with art car Heavy Meta) – Wednesday Get the Playa Body you have always dreamed of with Tapeworm Tonic Tuesday (Cures distributed later??) Why Knot? Get tied up with *Kid Friendly* knot tying class. Girl Scout approved- most afternoons Stop by and say hi… because WHY NOT? 
Camp You Are Here	6:15 and I	Come and be present!
Camposanto	2:45 and E	Camposanto & BRC fútbol stadium 
Candyland 	6:45 and H	Many old candy dispensers, conversation, shade, games, fun for all
Cantina Vida	7:45 and G	We will be serving hand crafted cocktails and Mexican beers Normal hours:Monday- Friday12noon-5pm
Captain Pump's Raiders 	6:00 and E	Captain Pump’s Raiders are Black Rock City’s finest mercenary company. By which we mean we are a collection of geeks, gamers, musicians, artists, and storytellers committed to adding to the fantastical nature of Burning Man through song, story, and roleplaying games.
Casa de la Rumba	3:15 and G	Come get some rumba to our Casa. Celebrate sharing, life, and try your luck in our little casino. You'll instantly be transported to the golden Mediterranean shores of Spain and France along with our little family of dusty Euro weirdos.
Cathouse Camp	9:00 Portal	Art Support Camp for Cathenge, the Cat Temple
CatsFish	8:45 and I
Cat’s Meow	9:00 and Portall	The Cat's Meow Meow Bar & Lounge is meant to make you cozy like a kitty!! Bar, lounge, black lights, pillows, hoops~ come play with us! 
Celestial Bodies	7:30 and G	Your STR8-friendly adult bar in the Burning Man gayborhood and home of the Playa Cosmo.
Celtic Chaos	10:00 and B	he Chaos continues… come stop by Celtic Chaos to dance your night away and have a little craic at Bertie’s Bar. Keeping it lit from 5pm until sunrise and beyond.
Cereal Thrillers	3:00 and G	A Breakfast Cereal Bar, we serve that sugary breakfast cereal your mom did not let you have as kid.
Champagne Lounge	5:45 and A	We ❤️ Champagne and you! 2019 is our 10th anniversary so come celebrate Friday at noon with us. Ice cold champagne and shot skis daily at noon. 
Chariot Project	9:15 and C	Serving Mobility Immediacy – Hurt your foot? Send a mate to check out a bicycle chariot for your own art tour. Chariots are due back daily at 10am. Bring a bike.
Chesire Alley	4:30 and G	We’re a group of cool cats from the US, Canada, Mexico, and Spain. Come say hello and go mad with us! Stop by as the sun sets for black light face painting, afternoon yoga, wonderland games, cold drinks and yummy snacks. 
Chico Urban Area (IGT MV Camp)	4:45 and H	Mutant Vehicle Camp for the Intergalactic Transporter
Children of Chaos	5:45 and A	The Children of Chaos are a group of friends and acquaintances of all ages who love costuming and celebrating life and who understand how to make their own fun. We encourage everyone to join us at our Burning Man events. In the default world, the Children of Chaos live in Portland, OR, Vashon Island, WA, Reno, NV, Houston,TX, Sydney, Australia and many other corners of the globe.The Children of Chaos have gathered at Burning Man since 2002, where we have presented interactive costume events and parades, including the Crows (02), the Freudian Slip Brigade (05), the Permission Slips (06), the Cockroach Brigade (06), Green Man Leaves (07), Jewish Motherly Advice (09 to present), the Scarlet Blister Puffs (09+10), Illuminated Spectres (11 to present), Chaos Cargo Service (13), Looking Glassholes (15), The Last Summer (16), Trumpy Dumps (17), Larval Marvels (19) and our annual, infamous Gold Parade and Cocktail Party (2003 – present). Chaos Camp also offers a cozy neighborhood bar where you can meet new friends. 
Chill Ville On The Esplanade	5:00 and 2400	Chill Ville is a place where conversations are made, patron becomes bartender, strangers become friends, and dreams come true at this rustic fire bar. Happy Hour 24 hours a day, 7 days a week one week a year only at Burning Man
Chronomorphic Art Support Camp	3:15 and D	We are the support camp for the Chronomorphic art installation.The Chronomorphic project represents the burial rites of the plains Indians with a swaddled body shape on a platform with an illuminated cityscape emerging from the its chest. Chronomorphic is life-sized, approximately 11' tall, 5' wide, and 8' long. Four modeled tree trunks support a platform that contains the figure of a swaddled human body as an illuminated cityscape emerges from the bodies chest. The entire piece is composed of an internal metal frame covered with hand-sculpted materials that resemble natural branches with a juxtaposed modern city in plexiglass and metal adornments.While Chronomorphic has a rustic appearance from a distance, as you get closer, you will see the polished city surrounded with lights, illuminated from within.As it is visually meditative and thought-provoking, we hope it will open up some dialog between viewers as to what it is portraying and what it means to each person. 
Church Of Now	4:00 and C	Providing light tunes and drinks by day and a meditative sanctuary by night
Church of Insubordination 	4:45 and C	The Church of Insubordination is home to the Lady Whiskey mutant vehicle. Affectionately known as “the chooch,” she is a gloriously rusty train engine. Also located at our camp is the Gothic Yurtthedral. Find sanctuary there, but remember the first rule of hippie school: Don’t lose your shoes!
Church of Pizza	7:00 and E	We love pizza and feed it to people. Pizza worship is optional but pizza eating is required!
Church of the Ceiling Cat	7:15 and C	The Ceiling Cat Prophet and her followers are creating a Burning Man tea room for cat lovers on the playa who want to have a quiet place to drink tea and talk about cats. We believe that Burning Man needs places for people who are tired of bars and loud music. This is a place where introverts will feel welcome! A place where you can share funny and sad stories about your cat!
Circle J Inconvenience Store	2:15 and A	Did you forget your shampoo, deodorant and other hygiene products at home and you're now stuck with the natural scent of 'get out of my tent, you smell'? Have you just crossed the sun-beaten playa, leaving you with the desperate need to refuel with a light snack or carbonated drink? Well you're in luck! The playa does provide with a can do, fuck you attitude. Stop by Circle J™ for an irresponsible selection of products designed to make you feel like you're back in corporate America. With our location inconveniently located not near you, we're waiting to serve you with a frown that will turn your day upside down.Sorry, we're open!
Circle of Friends	7:15 and D	Art Support Camp
Clevian Circularity	7:15 and 2400	Home of Playa Speed Dating, 8pm
Club Neu Verboten	9:15 and 2400	We are Club Neu Verboten; a lively, international fruit salad of friends, family and fresh faces. With Zero Drama and no kitchen, ever.Based on the Esplanade, our camp is in a prime spot to Serve The People – and serve them we do. For 19 years CNV has consistently surprised and welcomed playa patrons of all shapes, sizes, and interests with crafty day festivities (get drunk & get creative), outlandish games (playa cricket anyone?), and themed night parties (from Rolling Stones, to Beatles, to Hip Hop); all ignited by icy cold beer and the odd cocktail or three.
Clue Bar (Murder Mysteries)	9:15 and B	Signature cocktails, hydration and murder under the shade. Join our theatrical company for murder most foul, don those sexy heels and join us for the drag races and disco, or join us for the neighborhood block party on Sunday!   
Coco Poco Loco	4:00 and E
Coconauts	4:15 and B	An island oasis of scientific discovery. Enjoy our tiki bar and climbable ziggurat. Come see demonstrations of the Large Piña Collider. Interactive Moai God for the bravest. Drinks and music are served during events hours!
Coffee Camp ☕	8:00 and B	☕🔥😊
Cohesion	4:15 and I	We’ll be open every morning, all damn day, and all the live long night. Come and check out the catch of the day (catch and release is optional). Relax in knowing that all teddies go to heaven. Shake your tutu on Tuesday with facials and funk. Or start a tab with The Wizard and bear witness to the temporary existence of all you know as time ages gracefully and everything melts back to where it came!!!
Combobulated 	4:30 and D
Comfort & Joy	7:30 and D 	Restore your body and lift your spirits at Comfort & Joy, a gaycommunity oasis offering a fully functioning Gym, colorful artinstallations and daily events including yoga classes, inspiring performances, & quite queer nightlife.
Comfy Cozy Voodoo Lounge	7:30 and A	http://www.comfycozyvoodoolounge.org
ConTent 	9:30 and B	Beetlejuice Juice Beach Party offering Frozen acai bowls and LED volleyball tournaments everyday at sundown!
Confederacy of Dunces	7:15  and 2400
Connection	6:15 and E	Art Support Camp
Contradance Community Camp	6:30 and D	Contradancing to live music 8-10 every weeknight, waltzes and more daily
Contraptionists	7:00 and I	Snowcones, Firefries, Contraptions.
Cookie Cult	4:20 and K	Cookie Cult celebrates your sins and deliciousness baked with love. Swing my the cookie confessional to confess your latest and latest sin and be absolved with a delicious homemade cookie! Get out there sinners! 
Corner Pocket	7:45 and G	Billiards at Burning Man! Come play with our dusty balls and sticks during open play, daily tournaments, special events, and much more!
Cornhub	4:45 and J	Do you love Corn as much as we do? Come experience the entire gamut of the beautiful vegetable slash grain! Vegetables are a scarcity on the playa, so come join us for our fresh corn on the cob daily and build your own flavor popcorn bar to get your fibre on! Pooping is a problem out here, so make sure you get in and out of that little plastic box of a toilet as fast as possible.We also run an open bar with corn-based alcohol. Who knew you could simultaneously get nourishment and kill brain cells with the glorious corn?
Corporation Chaos	7:45 and H
Cosmic Ranch	7:00 and H	Upon blasting into the Cosmic Ranch, you are transported to an interactive, intergalactic camp beaming with friendly Ranchers, banging beats, wacky workshops, and tasty treats! At the center of the Cosmic Ranch is our mothership, a geodesic cosmic dome, the center of the Cosmic Ranch universe, which hosts all of our activities, including parties, happy hours, workshops, and spectacular dance parties. Watch out for our LED lasso, wrangling in Burners from the street to come in to our corral and find out more about the daily happenings in our universe.
Cosmicopia	2:45 and F	Cosmicopia is a Burning Man camp of Bay Area philosophers and astrologers. We believe in an enchanted cosmos and are dedicated to co-creating a new worldview in these uncertain times. Stop by our camp for a thought-provoking discussion or a mini astrology reading. Don't forget to look up at the stars!
Cosplay Central Casting 	6:00 and E	Mild to extreme Cosplay!
Costco Soulmate Trading Outlet	6:00 and D	Low-Cost Soulmates at warehouse pricesCostco Soulmate Trading Outlet is Burning Man’s leading provider of low-cost, high-quality soulmates since 1998. We offer quality name brand and private-label soulmates at substantially lower prices than can be found through conventional wholesale sources. Costco soulmates include many products unavailable at other soulmate chains and at substantially lower prices. With a large store and a huge inventory, we are able to offer a variety not found at other chains.
Couch Burners Camp 	2:30 and F	International couch surfer camp 
Coup de Foudre	4:00   and 2400
Cranky and Sons Bike Repair 	4:30 and C	Bike repair! Mechanics/coaches on duty mid-morning to mid-afternoon; DIY tools and supplies 24/7.
Creation Nation! BRC	3:15 and A	We are a camp of merry traveling to Learn, Make and Do! We offer a variety of workshops, Monday thru Friday 10a - 5p. Come say Hi
Crossroads & The Moon Cheese Grill	8:45 and 2400	We serve grilled cheese sandwiches and live funk music and play 
Cuddle Oasis	7:45 and B	Too hot? Too Cold? Partied out? Need a break? Need a cuddle or two? or Ten?You have come to the right place!Come relax in our misted Dome and cuddle up in one of our large bean bags. Get a refreshing drink to rejuvenate senses and possibly participate in one of our daily dance lessons. 
Cult of the Magic Lady	7:15 and C	Movies, Morning Danishes, A Lending Library, Two Tea Services, and more!
DO MORE NOW	8:00 and C	Do-More-Now is a setting in which art can flourish. We assist the camps that make up our village to bring various artworks each year: static, interactive, performance. We also create studio & maker spaces in which art can be created: glass-blowing, painting, crafting. Our iconic Firehouse incorporates 250 ft of wall space on which we encourage people to paint using the many pots of paint and brushes we provide. We view art as intrinsically collaborative – the playa allows us to collaborate directly with residents of BRC.The 5 story Firehouse bar is the most recognizable symbol of Do-More-Now. Visible from the Man it is a perpetual draw for the curious, and for old friends and sector mates. Our intention is to create a space where folks gather before adventures, and decompress afterwards.
DOGECENTRAL	6:45 and I	DOOOOOOOOOOGGGGGGEEEEEEE MUCH WOW! SUCH ART CAR!!!
DUST 2 DAWN VILLAGE	3:45 and E
Dante's InFURno	7:30 and B	A two storey raunchy strip club heavily inspired by the movie Beetlejuice, Dante's is the sex-positive Burning Man theme camp where you can meet frisky furries, sexy critters and freaky animal people of Black Rock City.
Dare to be Rare	2:15 and D	Welcome to Dare to be Rare. We are a protein inspired day camp that practices the 10 Principles of Burning Man as well as the five food groups for the week we are on the playa. Meat, Grain (by way of spirits), Meat, Water, and did we mention Meat? Camp Dare has been around for 5 years. After a year off, Dare To Be Rare restarted in 2018 and rocked the house. We are getting more naughty by the year and this year we won't disappoint! We pride ourselves on instilling fun, participation and energy into our surroundings whilst living our camp principles on and off the playa.We are a participatory day theme camp where we run a number of inclusive events during the week to entice the playa community to join in our fun. We are inclusive, participative, engaging, and a fun loving group of people. Is this your new home? Our intentions are simple: we are here to have a great time and to give back to our playa community and grow our family year on year. Running our events and seeing all the smiling faces fills us with gratitude and appreciation and we would expect this to be true for you if you choose to join us!During the week we run several events that camp members participate in. Our playa-renowned Father's Weiner Communion with our very own Meat Priest & Naughty Nun will back along side all their naughty alter boys & girls.
Dark Sparkle	8:45 and B	Dark Sparkle is your call to the mysterious, your insatiable drive of self-expression, your community for body positivity and possibility. Through full-sensory burlesque, music, and ecstatic dance events, Dark Sparkle promotes body-positivity and self-expression.
Darkwad Patrol	8:45 and B	Our mission is to help burners in need of illumination with a light share box in front of our camp and gifting while we are out on patrol at night.Need personal lighting accessories, something for your bike, batteries went dead, workshops on bike lighting and fashion, we are here to help!
Daydream	10:00 and D	Being a part of something together with friends, family and strangers while working together as a community to elevate the experience of art, artisans, musicians, ideators, dreamers, makers and do-ers - for a shared communal experience - is what Daydream is all about.
DeMentha	3:00 and B	Come by our minty oasis every day from 1-6pm for fresh mojitos, live DJs, and bootyshaking on our misted dancefloor 💚
Dead Dave's Blacklight Lounge	6:00 and A	Burning Man theme camp, Dead Dave invites all participants to enter and help transform the space by making their own marks with neon pens and paints.
Deaf Granny's Kitchen	7:30 and F	Visit Deaf Granny's retro kitchen and learn some naughty signs, party a little, and get a spanking if you misbehave. PB&J served randomly.  
Dear Mom	2:45 and D	Dear Mom is a camp centered on celebrating the strong women & role models in your life. We provide a relaxing and inclusive space on playa to have a cup of tea, reflect on those who helped make you who you are, and write a letter on custom Goddess stationary.
Death Guild	4:15 and 2400	Home of the Thunderdome crew
Decadent Oasis	6:45 and H	A glowing multicolored oasis in the dark of night; a windswept grove of white palm trees by day–our magical oasis and sheltered lounge welcome you to dance, play, perform, and chill. Hula hoops, DJ’s, dance parties, and friendly folks abound within an eco-conscious camp made from mostly reclaimed/reused materials. Stop by for a warm welcome!
Decentral	6:30 and G	Decentralize All The Things! Nonstop-Nerd-talk on Sovereignty, Blockchain, Econ, DAOs & Revolution!
Deep C 	3:30 and B	Karaoke and Oasis events
Deep Playa Diver 	7:15 and H	Mutant vehicle support camp
Deep Playa Surprise	4:45 and D
Deoxidized	4:00 and G	Deoxidized is a global community of artists, makers, risk-takers, problem-solvers, and dreamers. Deox is about creating community no matter where you are - even on the far reaches of the playa. We create a Global Neighborhood Oasis: with our location on the edge of BRC and our diverse, international crew, we provide a welcoming space for gathering, connecting, and meeting new friends just beyond the beaten path.
Desert Healers	6:30 and G	We bring our healing sanctuary to the playa. A quiet place to relax, receive healing & bodywork, aromatherapy, an occasional workshop, yoga, and other mystically centered healing modalities. Come to rest and get out of the hot sun to refresh your body, your mind, and your spirit!
Destiny Lounge 3D	3:00 and G	Come twist your mind in our 3D black light wonderland! Free Blowjobs! Every afternoon for everyone!! 
Detroit:(Black) Rock City	8:45 and E	Burners. Badasses. Michigangsters.
Dia de Los Muertos	8:45 and B	The Mexican Day of the Dead (Dia de los Muertos) being the theme of our camp, our aesthetic and guiding philosophy is based on the idea of celebrating our mortality and honoring the passing of our collective ancestral predecessors. The realization of our own impermanence need not lead to morose self-reflection or feelings of impending doom. We can, instead, choose to use this awareness as incentive to live our lives as fully as possible. Our expression of this philosophy will manifest in several offerings to the BRC community. Our main bar area will be festively decorated in the style of Dia de los Muertos (skulls and flowers), we will offer different types of adult beverages based on the mood of the day as well as a wheel of fortune style tricks or treats depending on your luck or misfortune. Our core intention is to provide a friendly, comfortable and festive (moop free) environment for our fellow denizens to enjoy with us. To embrace this year’s Metamorphoses theme, we will evolve throughout the week, every day we will have different yoga classes styles and yogis, as well as having each day a new interactive game that passersby will want to participate and play with us while enjoying refreshing cocktail that will match the origin of said game; Taking our denizens throughout multiples countries and cultures throughout the week, which is intrinsic to our multinational camp. Of course, we also will have instant cameras to share the fun moments with our friends and visitors and gift them with our instant love and gratitude of beautiful moments shared together.
DinoMite	3:45 and G	Art support camp + funky pop up events
Dirty Bodies Dirty MInds	4:15 and J	Art car support camp for Pokey and Skeeter. We also have a spinning wheel game. Swing by and say hi.
Disciples of Absentia (DOA)	3:15 and E	We of our Lady Absentia, patron of that which is lost and those who are absent, will be setting up shop to drink our cares away with the citizens of Black Rock City. One Eyed Jacks Tavern is our home on playa where we will host guests in the late morning and evening. We will have our build a buddy station up when the tavern is open so you can recreate the wilfully absent or lost in the default buddy that didn’t make it out this year. Drown out the frustration of losing that one costume piece or forgetting to bring that one tool with a mimosa in the morning followed by some competitive lawn games. With us you will find fun folk, good drinks and a reason to forget about the absences you face, if only for a bit.
Disciples of The Dust	6:15 and D
Disco Knights	2:00 and I 
Disco Roboto	4:45 and I	Mutant Vehicle support camp
Discordia	9:00 and I	Mega misting, chill space and parties in the Discordia pyramid
Disorient	2:15  and 2400
Distrikt	9:00 and E
Dome on the Range	6:30 and C	Rootin' Tootin' Western Saloon
Down Low Club	7:15 and F	Down Low Club is a large tent for manplay in the recreational side of our camp. Open 24/7 all week for all adult men, this discreet, enclosed & air conditioned Army tent is fully outfitted for erotic man-to-man play between adult men in a space free of judgment and prying eyes. Consenting adult men of all orientations–Gay, Bi, Queer, Trans, Straight, Questioning or otherwise–are welcomed.
Dr Carl's Collection of Departments	4:00 and F	Our (not as) big board of stuff for citizens to find/claim for fabulous prizes, and also a schedule of talks & workshops.
Dr. Baron von Realz, Esq. Sideshow	4:30 and E
Dr. Playa's Ear, Nose and Throat Clinic	6:30 and A	Pesky Playa dust packed in those head holes? We can help with that! Our decidedly *non-medical* staff can fix you up with the tools you need to clean your nose and ears. Your throat? Well, that requires an exam, possibly a CAT scan, and perhaps a shot. Most people need a shot.
Dragon Clan	5:15 and G	Dragon Clan is a camp themed on fire and flight. The members of Dragon Clan are enthusiasts of fire performance arts and ultralite human flight. We intend to provide exposition and education on this theme. We will provide a safe space for fire performances and workshops. The fire skills possessed by clan members include fire breathing, fire eating, flaming rope dart, bow staff, juggling and poi. This space will also provide for the display and demonstration of the equipment used for paragliding, paramotoring, and skydiving. We will also provide a shaded space for camp events and a lounge/party space. There will be informational signage posted at the camp other on theme reading material in the dome for guests to read. Dragon Clan will enthusiastically promote safe practice and participation of these arts. We are also planning on host 1-2 fire spinning workshops for beginners, a kite building workshop, multiple open bar times with dragon/fiery themed drinks, and a craft day for kids focused around dragons (minimum).
Dragon Heights	2:15 and D	Dragon themed chill out zone with yurt full of fidget toys, games, and other objects to pass the time. 
DragonCamp Armory	7:30 and F	Come to DragonCamp Armory to make your own sexy Armor Bikini to wear and share on the Playa! We will teach you simple traditional hand working metal skills to cut, shape, and hammer aluminum into a sexy bikini bra and bottom. Decorate with bits of jewelry to personalize yours. Tie with leather thong for a secure fit. We will have a “dungeon” façade and props set up in the camp, along with our Giant Green Dragon mutant vehicle for a backdrop to shoot photos of completed creations. Prop swords, axes and throne furnished for effect.Also new this year will be a body painting station for painting of “tribal tattoos” and theme- based decorative art and Our exclusive "Naked Dinosaur Rides" on our animatronic Life-Size Dinosaur!
Duck Pond	9:00 and H	Duck Your Burn. Come for the beats, stay for the cold beer & cocktails! 
DusTEA Dome	6:45 and B	Visit our giant teapot, grab a seat, and enjoy a cup of hot tea Monday through Friday and a sweet treat. Service starts at dusk.
Dust Circus	7:30 and J	Describe Your Burning Man Projects and Affiliations The Dust Circus camp invites guests to Circus, Theatrical, Mask, Costume shows on in-door and out-door stages at our camp. In the past we brought world-famous performers like 'blackSKYwhite' show well known by Edinborough, Glasnonberry and other performing festivals. Also we performed the Magician show in our camp and gave a performance in Central Camp. In night time the Dust Circus provides in-camp sophisticated lighting show for BM community. Dust Circus plans to bring the Mutant Vehicle 'VroomShroom' to the Playa in 2019
Dust Devil Scouts	6:45 and D	The Dust Devil Scouts are a burned-up version of a Scouts summer camp. We provide our visitors with familiar, yet strange, experiences that evoke nostalgic feelings of golden childhood memories of camp.
Dustfish	9:30 and 2400	Water is for pussies
Dusty Beavers	6:30 and E	Directly from the Great White North, land of the maple leaf, comes the sugar shack of your dreams. Yes, a sugar shack on the Playa! Maple taffy on snow. Yes, snow on the Playa, in August. We will make it happen. Join us after dark for a taste of sweetly delicious “tire d’érable sur neige.” The Dusty Beavers are an international group: Canadians and French.
Dusty Booty Ranch	9:30 and B	Where all Misfits fit in. Serving coffee and Donuts every morning, Dive bar Saloon, 40ft tall Scaffolding "YO" Tower
Dusty Bunnies 	2:45 and 2400	Costume gifting boutique 
Dusty Frogz	4:15 and B	Welcome to the Dusty Frogz camp! We’ve built a guingette in a traditional Parisian style where we provide daily entertainment and French drinks. Think about Champagne, Cognac and our famous Ricard. To go with the latest, we have two boules fields that are available 24/7 and a great selection of music played by our DJs. You can easily find us on the playa, just look out for the Eiffel Tower and get inside to feel a 360° misting experience.
Dusty Joe's Rust Bucket	8:30 and 2400	We bring the rustic art of washing and massage. We help dust off in old-school burner style, providing the cantankerous edge of bayou hospitality
Dusty Mule Saloon and Playground	4:15 and H	Morning bar, -ation dome and playground
Dusty Nuts Tavern	3:15 and B	Terrible drinks from terrible people
Dusty Pineapple	4:45 and C	The Dusty Pineapple is a tropical oasis with a bicycle drawn Tiki Bar that ventures out at sunset to the farthest corners of the deep playa to provide wandering burners the joy of discovering a tiny oasis of light, music, fun, and camaraderie where it’s least expected.Come join us in camp for tropical themed BBQs and happy hours, yoga, science talks, and our moop pick-up game- Pick It Up With Your Butt! The Dusty Pineapple does not disclose its location in the deep playa. Rather, we prefer to be that moment burners find by chance. Creating an intersection of serendipity, intimacy and great times that form the most enduring connections and memories. The Dusty Pineapple serves tropical drinks with groovy jams. We look forward to you stumbling upon us along your journey!
Dusty Rhino	9:30 and K	The Dusty Rhino art car is a fire breathing, thumping, mobile party that brings people together through art, fire and electronic music.
Dusty Vestibule	7:45 and H	One-part guzzle and one part nuzzle, at the Dusty Vestibule you can explore the inner sanctum of your place of birth and drink from a voluptuous vulva; a luscious lipped fountain for your nourishment if only you can find the right button at the “Hoochie Coochie”. Then roll, skip, wrestle, dive or meander towards “Love You to Death“, your living wake, one vestibule to the other. From birth to earth, slip into the silky sanctum of your very own coffin and be ravished with words by the ones who’d rather have their love for you fall on living ears. The Dusty Vestibule is an experiential metamorphosis of your making. 
EBB AND GLOW	4:30 and C	EBB & Glow is a Burner community in the East Bay filled with warm & welcoming builders and artists. This year's village will include several great camps!- Magic Lantern Society - Candy HeArt Car - Random Acts Of Cupcake- Cranky and Son’s Bike Repair- Just Shoot Me in the Dust Photo Booth- Tunnelingus Black Light Tunnel- Zen Dome
EGGS Bar	6:00 and A	The EGGS Bar crew of longtime burners will once again create our welcoming venue of the deepest interaction. A jewel on the playa; a beautifully designed bar with amazing artifacts. While it's disguised as a friendly tavern, our space is so much more than a place to grab a drink... a storytelling station, meeting place of the minds, incubator of adventures, spontaneous dance party spot, sometimes even a Burning Man debate forum. We are YOUR local on the playa!This is our vision, to create the best environment and experience that we can on playa.EGGS Bar "Best Bar on the Playa 33 Years Running"
EZ Tiger	4:15 and C	A watering hole with music
Eat Your Heart Out	6:00 and I	Come by our big purple dome to recharge your heart with a drink and a dance!
El Tesoro	7:00 and A	Hidden Treasure! Camp El Tesoro will be open daily from noon to midnight (except when the bartender passes out or when we feel like taking a break). Tequila poppers, rub a beard, pickled eggs, giant Jenga, mousetrap catch, horny ho's, ding dongs, the golden goose, ring around the cock, jolly jolly jockstrap, the big bad wolf, battleshots, giant connect four, the tiny dancer on a pole, dwarf tossing (BYOD), famous ramp of death, tequila poppers, finklestein, peppercini martinis, pickle backs, and plenty of other douchebaggery.......
